gender,created,retweet_count,text,num_exclamation,num_tokens,num_replys,contains_link,num_verbs,num_nouns,neg_score,pos_score,neu_score,num_commas,num_period,num_question_mark,num_upper,num_lower,num_num,contains_smiley,num_likes,num_first_person,num_hashtags,num_symbols
male,12/5/13 1:48,0,Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ,0,15,0,1,1,4,0.129,0.224,0.647,0,1,0,21,69,0,0,0,0,1,6
male,10/1/12 13:51,0,It felt like they were my friends and I was living the story with them۝ https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz,0,21,0,1,5,5,0.0,0.259,0.741,0,2,0,18,83,2,0,1,4,2,12
male,11/28/14 11:30,1,i absolutely adore when louis starts the songs it hits me hard but it feels good,0,16,0,0,4,2,0.062,0.323,0.615,0,0,0,0,65,0,0,0,1,0,0
male,6/11/09 22:39,0,Hi @JordanSpieth - Looking at the url - do you use @IFTTT?!  Don't typically see an advanced user on the @PGATOUR! https://t.co/H68ou5PE9L,2,27,3,1,5,2,0.0,0.12,0.88,0,1,1,21,77,4,0,0,0,0,14
male,12/3/12 21:54,0,"Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by_ https://t.co/HzeeykJUd3",0,26,0,1,4,5,0.0,0.0,1.0,2,1,0,11,88,4,0,0,0,0,10
male,10/18/09 11:41,0,@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P,0,21,1,0,4,4,0.107,0.251,0.642,0,0,0,4,86,2,0,0,2,0,5
male,7/20/15 12:01,0,@CaribBros @JstSaleem I do but I don't understand how to get to the server to get it,0,18,2,0,5,2,0.0,0.0,1.0,0,0,0,6,59,0,0,0,4,0,3
male,1/11/13 1:18,0,"YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE https://t.co/aYuQDPtvsE",0,16,0,1,2,2,0.0,0.0,1.0,1,1,0,61,13,0,0,0,0,0,6
male,4/21/11 12:21,0,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE,1,23,2,0,3,5,0.0,0.151,0.849,0,1,0,14,82,0,0,0,0,1,6
male,3/24/14 2:57,0,As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE,0,23,0,0,7,3,0.0,0.33,0.67,0,0,0,67,25,0,0,1,1,0,1
male,12/5/12 6:18,0,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E,1,16,0,1,2,2,0.386,0.0,0.614,0,1,0,16,43,1,0,0,0,2,8
male,11/26/11 15:08,0,And got more yards AND points than the Jets gave up all season. https://t.co/gdfkaOxcDD,0,15,0,1,2,5,0.0,0.0,1.0,0,2,0,8,60,0,0,0,0,0,6
male,5/20/11 1:59,0,Did Alot Up In The Past Ion Wont Back,0,10,0,0,3,1,0.0,0.0,1.0,0,0,0,9,20,0,0,0,0,0,0
male,5/17/09 21:05,0,@TheRiddler109 @CNN I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...,0,20,2,0,5,2,0.117,0.0,0.883,0,3,0,7,73,3,0,1,2,0,6
male,6/17/09 18:09,0,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H,0,20,0,1,4,3,0.0,0.102,0.898,0,2,1,6,74,3,0,0,2,0,7
male,12/13/14 9:45,0,"@onedirection Artist of the Year #AMAs

HO FAME",0,10,1,0,0,3,0.0,0.342,0.658,0,0,0,11,26,0,0,0,0,1,2
male,7/1/13 3:55,0,@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!,1,23,1,0,4,6,0.143,0.0,0.857,0,0,0,0,104,0,0,0,0,0,4
male,8/3/09 14:34,0,Greenville Thursday. Yall holla you need anything. Know I'm the plug,0,14,0,0,4,3,0.0,0.0,1.0,0,2,0,5,50,0,0,0,2,0,3
male,10/6/13 15:03,0,@AndyRobsonTips Cardiff or drew with the over 1.5 match goals sounds good to me,0,14,1,0,2,2,0.0,0.182,0.818,0,1,0,4,58,2,0,0,0,0,2
male,9/7/14 8:02,0,"Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by_ https://t.co/XprInke1m2",0,26,0,1,4,6,0.0,0.0,1.0,2,1,0,10,88,5,0,0,0,0,10
male,4/13/09 16:23,0,Best thing about having an audition on the west side is being able to eat lunch at Komodo,0,18,0,0,4,4,0.0,0.198,0.802,0,0,0,2,70,0,0,0,0,0,0
male,6/14/11 21:47,0,Discipline is the bridge between goals and accomplishment. - Jim Rohn,0,12,0,0,1,4,0.0,0.0,1.0,0,1,0,3,54,0,0,0,0,0,2
male,1/6/10 13:25,0,"In the last 20 minutes that Wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit _______________",0,40,0,0,3,18,0.092,0.159,0.749,3,0,0,2,82,3,0,0,0,0,18
male,5/13/07 21:34,0,Triggered Email: The Killer Conversion App https://t.co/obCkhxkOm7,0,8,0,1,1,1,0.417,0.0,0.583,0,1,0,8,45,1,0,0,0,0,6
male,10/11/15 5:03,0,@Hakeem_NLT Boii make the wafflw link to the reference then the word count should clear up lol,0,17,1,0,4,4,0.0,0.265,0.735,0,0,0,5,71,0,0,0,0,0,2
male,3/4/13 6:45,0,"@Harry_Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU",0,27,1,0,5,3,0.0,0.314,0.686,1,0,0,5,107,0,0,0,0,0,4
male,2/9/11 6:55,0,The POLITICS of evidence + results in international development. https://t.co/T7N2c2TTBf - Looks great. h/t @duncan_ids @rosalindeyben +,0,21,2,1,2,5,0.0,0.24,0.76,0,3,0,15,88,3,0,0,0,0,14
